Names,inchikey,smiles
meglumine,MBBZMMPHUWSWHV-UHFFFAOYSA-N,CNCC(C(C(C(CO)O)O)O)O
ciliatine (2-aminoethylphosphonate),QQVDJLLNRSOCEL-UHFFFAOYSA-N,C(CP(=O)(O)O)N
1-linoleoyl-digalactosylglycerol (18:2)*,UHISGSDYAIIBMO-OCOVFIGMSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O
"1,2-dilinoleoyl-GPC (18:2/18:2)",FVXDQWZBHIXIEJ-LNDKUQBDSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
nicotinamide ribonucleotide (NMN),DAYLJWODMCOQEW-TURQNECASA-N,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N
2-hydroxyarachidate*,CPLYLXYEVLGWFJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCC(C(=O)O)O
N-formylphenylalanine,NSTPXGARCQOSAU-VIFPVBQESA-N,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC=O
isovalerate (C5),GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O
N6-formyllysine,KLPJXDPPMSJWKI-LURJTMIESA-N,C(CCNC=O)C[C@@H](C(=O)O)N
naringenin 7-O-glucoside,DLIKSSGEMUFQOK-SFTVRKLSSA-N,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O
isohyodeoxycholate,DGABKXLVXPYZII-MMTMODRTSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@@H](C4)O)C)O)C
tauroursodeoxycholate,BHTRKEVKTKCXOH-LBSADWJPSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
threonate,JPIJQSOTBSSVTP-GBXIJSLDSA-N,C([C@H]([C@@H](C(=O)O)O)O)O
creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)N=C1N
4-acetaminophen sulfate,IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O
creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N
laurylcarnitine (C12),FUJLYHJROOYKRA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
1-methylguanidine,CHJJGSNFBQVOTG-UHFFFAOYSA-N,CN=C(N)N
alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@@H](C(=O)O)N
diglycerol,GPLRAVKSCUXZTP-UHFFFAOYSA-N,C(C(COCC(CO)O)O)O
oxalate (ethanedioate),MUBZPKHOEPUJKR-UHFFFAOYSA-N,C(=O)(C(=O)O)O
glutarylcarnitine (C5-DC),NXJAXUYOQLTISD-UHFFFAOYSA-N,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCC(=O)O
ginkgolic acid C15:1,YXHVCZZLWZYHSA-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC1=C(C(=CC=C1)O)C(=O)O
N-propionylmethionine,RBAAEQRITQHPJM-UHFFFAOYSA-N,CCC(=O)NC(CCSC)C(=O)O
riboflavin (Vitamin B2),AUNGANRZJHBGPY-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
1-palmitoyl-GPE (16:0),YVYMBNSKXOXSKW-HXUWFJFHSA-N,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O
alpha-tocopherol acetate,ZAKOWWREFLAJOT-UHFFFAOYSA-N,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C
N1-methylinosine,WJNGQIYEQLPJMN-IOSLPCCCSA-N,CN1C=NC2=C(C1=O)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
tyrosylglycine,HPYDSVWYXXKHRD-UHFFFAOYSA-N,C1=CC(=CC=C1CC(C(=O)NCC(=O)O)N)O
morphine-3-glucuronide,WAEXKFONHRHFBZ-ZXDZBKESSA-N,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)O[C@H]3[C@H](C=C4)O
11beta-hydroxyetiocholanolone glucuronide*,OMYMRCXOJJZYKE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)O
calystegine A3,XOCBOVUINUHZJA-UHFFFAOYSA-N,C1CC2(C(C(CC1N2)O)O)O
2-piperidinone,XUWHAWMETYGRKB-UHFFFAOYSA-N,C1CCNC(=O)C1
N-stearoyltaurine,LMIJIHJZVURGQK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCCS(=O)(=O)O
valerylglycine (C5),NYZBWOSRZJKQAI-UHFFFAOYSA-N,CCCCC(=O)NCC(=O)O
p-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)O
imidazole lactate,ACZFBYCNAVEFLC-UHFFFAOYSA-N,C1=C(NC=N1)CC(C(=O)O)O
"2,6-dihydroxybenzoic acid",AKEUNCKRJATALU-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)C(=O)O)O
3-(3-hydroxyphenyl)propionate sulfate,IQWLPDPKVFZEOK-UHFFFAOYSA-N,C1=CC(=CC(=C1)OS(=O)(=O)O)CCC(=O)O
beta-hydroxyisovalerate,AXFYFNCPONWUHW-UHFFFAOYSA-N,CC(C)(CC(=O)O)O
hydroxymethylpyrimidine,VUTBELPREDJDDH-UHFFFAOYSA-N,CC1=NC=C(C(=N1)N)CO
octanoylcarnitine (C8),CXTATJFJDMJMIY-UHFFFAOYSA-N,CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
N-alpha-acetylornithine,JRLGPAXAGHMNOL-LURJTMIESA-N,CC(=O)N[C@@H](CCCN)C(=O)O
"2,8-quinolinediol",ZXZKYYHTWHJHFT-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)NC(=O)C=C2
N-methylproline,CWLQUGTUXBXTLF-UHFFFAOYSA-N,CN1CCCC1C(=O)O
dimethylarginine (ADMA + SDMA),YDGMGEXADBMOMJ-LURJTMIESA-N,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
limonin,KBDSLGBFQAGHBE-MSGMIQHVSA-N,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C
decanoylcarnitine (C10),LZOSYCMHQXPBFU-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
1-methyl-5-imidazoleacetate,UJCGYTCAMOHYCG-UHFFFAOYSA-N,CN1C=NC=C1CC(=O)O
curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
N-acetylhistamine,XJWPISBUKWZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CN=CN1
amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
tetrahydrocortisone,SYGWGHVTLUBCEM-ZIZPXRJBSA-N,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
pimelate (C7-DC),WLJVNTCWHIRURA-UHFFFAOYSA-N,C(CCC(=O)O)CCC(=O)O
N1-Methyl-2-pyridone-5-carboxamide,JLQSXXWTCJPCBC-UHFFFAOYSA-N,CN1C=C(C=CC1=O)C(=O)N
dihydroorotate,UFIVEPVSAGBUSI-UHFFFAOYSA-N,C1C(NC(=O)NC1=O)C(=O)O
5-oxoproline,ODHCTXKNWHHXJC-VKHMYHEASA-N,C1CC(=O)N[C@@H]1C(=O)O
maleate,VZCYOOQTPOCHFL-UPHRSURJSA-N,C(=C\C(=O)O)\C(=O)O
androsterone glucuronide,VFUIRAVTUVCQTF-BSOWLZGZSA-N,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O
glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N
naringin,DFPMSGMNTNDNHN-CSIAVLANSA-N,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
pantoate,OTOIIPJYVQJATP-BYPYZUCNSA-N,CC(C)(CO)[C@H](C(=O)O)O
glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N
taurochenodeoxycholate,BHTRKEVKTKCXOH-BJLOMENOSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
7-methylurate,YHNNPKUFPWLTOP-UHFFFAOYSA-N,CN1C2=C(NC(=O)NC2=O)NC1=O
20-hydroxyecdysone,NKDFYOWSKOHCCO-YPVLXUMRSA-N,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O
valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@@H](C(=O)O)N
2-hydroxy-3-methylvalerate,RILPIWOPNGRASR-UHFFFAOYSA-N,CCC(C)C(C(=O)O)O
"3,4-dihydroxyphenylacetate",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,C1=CC(=C(C=C1CC(=O)O)O)O
4-hydroxybutyrate (GHB),SJZRECIVHVDYJC-UHFFFAOYSA-N,C(CC(=O)O)CO
chrysoeriol,SCZVLDHREVKTSH-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
gluconate,RGHNJXZEOKUKBD-SQOUGZDYSA-N,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
7-methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N=C(N2)N
glucuronate,AEMOLEFTQBMNLQ-WAXACMCWSA-N,[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O
N-acetylneuraminate,SQVRNKJHWKZAKO-LUWBGTNYSA-N,CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
pyridoxal,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)CO
3-dehydrodeoxycholate,WMUMZOAFCDOTRW-OVEHVULHSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CCC(=O)C4)C)O)C
phenylacetate,WLJVXDMOQOGPHL-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)O
octadecanedioate (C18),BNJOQKFENDDGSC-UHFFFAOYSA-N,C(CCCCCCCCC(=O)O)CCCCCCCC(=O)O
4-hydroxybenzoate,FJKROLUGYXJWQN-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)O)O
"guanosine-2',3'-cyclic monophosphate",UASRYODFRYWBRC-UUOKFMHZSA-N,C1=NC2=C(N1[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)O)NC(=NC2=O)N
behenoyl sphingomyelin (d18:1/22:0)*,FJJANLYCZUNFSE-TWKUQIQBSA-N,CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O
dimethylmalonic acid,OREAFAJWWJHCOT-UHFFFAOYSA-N,CC(C)(C(=O)O)C(=O)O
1-palmitoyl-GPG (16:0)*,BVJSKAUUFXBDOB-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)O
methyl indole-3-acetate,KTHADMDGDNYQRX-UHFFFAOYSA-N,COC(=O)CC1=CNC2=CC=CC=C21
"5,6-dihydrothymine",NBAKTGXDIBVZOO-UHFFFAOYSA-N,CC1CNC(=O)NC1=O
3b-hydroxy-5-cholenoic acid,HIAJCGFYHIANNA-QIZZZRFXSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)N=C(N2)N
acetylcarnitine (C2),RDHQFKQIGNGIED-UHFFFAOYSA-N,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
ergosterol,DNVPQKQSNYMLRS-APGDWVJJSA-N,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
TMP,GYOZYWVXFNDGLU-XLPZGREQSA-N,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O
glycerol 3-phosphate,AWUCVROLDVIAJX-UHFFFAOYSA-N,C(C(COP(=O)(O)O)O)O
2-hydroxypalmitate,JGHSBPIZNUXPLA-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(C(=O)O)O
gamma-glutamylthreonine,GWNXFCYUJXASDX-UHFFFAOYSA-N,CC(C(C(=O)O)NC(=O)CCC(C(=O)O)N)O
cortisol,JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
pentadecanoate (15:0),WQEPLUUGTLDZJY-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(=O)O
2-hydroxysebacate,LPIOYESQKJFWPQ-UHFFFAOYSA-N,C(CCCC(C(=O)O)O)CCCC(=O)O
N-octanoylglycine,SAVLIIGUQOSOEP-UHFFFAOYSA-N,CCCCCCCC(=O)NCC(=O)O
2'-deoxyadenosine 5'-monophosphate,KHWCHTKSEGGWEX-RRKCRQDMSA-N,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
bufotenine,VTTONGPRPXSUTJ-UHFFFAOYSA-N,CN(C)CCC1=CNC2=C1C=C(C=C2)O
1-stearoyl-GPA (18:0),LAYXSTYJRSVXIH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O
tigloylglycine,WRUSVQOKJIDBLP-HWKANZROSA-N,C/C=C(\C)/C(=O)NCC(=O)O
(12 or 13)-methylmyristate (a15:0 or i15:0),ZOCYQVNGROEVLU-UHFFFAOYSA-N,CC(C)CCCCCCCCCCCC(=O)O
isoleucylglycine,UCGDDTHMMVWVMV-UHFFFAOYSA-N,CCC(C)C(C(=O)NCC(=O)O)N
"2R,3R-dihydroxybutyrate",LOUGYXZSURQALL-PWNYCUMCSA-N,C[C@H]([C@H](C(=O)O)O)O
ibuprofen acyl glucuronide,ABOLXXZAJIAUGR-JPMMFUSZSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
linoleoyl ethanolamide,KQXDGUVSAAQARU-HZJYTTRNSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCO
4-hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)O)O
valylglycine,IOUPEELXVYPCPG-UHFFFAOYSA-N,CC(C)C(C(=O)NCC(=O)O)N
carboxyibuprofen,DIVLBIVDYADZPL-UHFFFAOYSA-N,CC(CC1=CC=C(C=C1)C(C)C(=O)O)C(=O)O
agmatine,QYPPJABKJHAVHS-UHFFFAOYSA-N,C(CCN=C(N)N)CN
(3'-5')-adenylyladenosine*,UYSXBCQACJTYFS-XPWFQUROSA-N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=NC6=C(N=CN=C65)N)CO)O)O)N
coprostanol,QYIXCDOBOSTCEI-NWKZBHTNSA-N,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@@H](C4)O)C)C
3-hydroxybenzoate,IJFXRHURBJZNAO-UHFFFAOYSA-N,C1=CC(=CC(=C1)O)C(=O)O
heptadecasphingosine (d17:1),RBEJCQPPFCKTRZ-LHMZYYNSSA-N,CCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",AADLTHQNYQJHQV-SVLGDMRNSA-N,CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC=N2
phytanate,RLCKHJSFHOZMDR-UHFFFAOYSA-N,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O
N6-succinyladenosine,VKGZCEJTCKHMRL-MDBUBQOGSA-N,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N[C@@H](CC(=O)O)C(=O)O
phenol glucuronide,WVHAUDNUGBNUDZ-GOVZDWNOSA-N,C1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
2-hydroxymyristate,JYZJYKOZGGEXSX-UHFFFAOYSA-N,CCCCCCCCCCCCC(C(=O)O)O
1-linoleoyl-GPC (18:2),SPJFYYJXNPEZDW-UTJQPWESSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
D-urobilin,DOKCNDVEPDZOJQ-MBTHVWNTSA-N,CCC1=C(C(=O)NC1CC2=C(C(=C(N2)/C=C\3/C(=C(C(=N3)CC4C(=C(C(=O)N4)C=C)C)C)CCC(=O)O)CCC(=O)O)C)C
dehydrolithocholate,KIQFUORWRVZTHT-MRBXEDHFSA-N,C[C@H](CCC(=O)O)[C@@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCC(=O)C4)C)C
isoursodeoxycholate,RUDATBOHQWOJDD-DNMBCGTGSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@@H](C4)O)C)O)C
2-methylbutyrylcarnitine (C5),IHCPDBBYTYJYIL-UHFFFAOYSA-N,CCC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C
erucate (22:1n9),DPUOLQHDNGRHBS-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O
hesperetin,AIONOLUJZLIMTK-AWEZNQCLSA-N,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
"N2,N5-diacetylornithine",XUYANFPPYJSBPU-QMMMGPOBSA-N,CC(=O)NCCC[C@@H](C(=O)O)NC(=O)C
undecanedioate (C11-DC),LWBHHRRTOZQPDM-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCCC(=O)O
isobutyrylglycine (C4),DCICDMMXFIELDF-UHFFFAOYSA-N,CC(C)C(=O)NCC(=O)O
N-methylalanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C[C@@H](C(=O)O)NC
nicotinate ribonucleoside,PUEDDPCUCPRQNY-ZYUZMQFOSA-O,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O
glucosamine 6-sulfate,MTDHILKWIRSIHB-QZABAPFNSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)N)O)O)OS(=O)(=O)O
tiglyl carnitine (C5),WURBQCVBQNMUQT-RMKNXTFCSA-N,C/C=C(\C)/C(=O)OC(CC(=O)[O-])C[N+](C)(C)C
campesterol,SGNBVLSWZMBQTH-PODYLUTMSA-N,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
o-hydroxyatorvastatin,CZBPKFICAYVHHM-JWQCQUIFSA-N,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4O
4-ethylphenyl sulfate,DWZGLEPNCRFCEP-UHFFFAOYSA-N,CCC1=CC=C(C=C1)OS(=O)(=O)O
N-carbamoylalanine,LUSWEUMSEVLFEQ-UHFFFAOYSA-N,CC(C(=O)O)NC(=O)N
"5,6-dihydrouracil",OIVLITBTBDPEFK-UHFFFAOYSA-N,C1CNC(=O)NC1=O
dimethylglycine,FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(=O)O
palmitoylcholine,ODYPFMHOOQOHEF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C
