Names,inchikey,inchi code
N-(2-furoyl)glycine,KSPQDMRTZZYQLM-UHFFFAOYSA-N,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)"
hydroxyproline,PMMYEEVYMWASQN-DMTCNVIQSA-N,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1"
10-heptadecenoate (17:1n7),GDTXICBNEOEPAZ-FPLPWBNLSA-N,"InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h7-8H,2-6,9-16H2,1H3,(H,18,19)/b8-7-"
"androstenediol (3beta,17beta) monosulfate (1)",HXJFCUUBVWOORF-LOVVWNRFSA-N,"InChI=1S/C19H30O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h3,13-17,20H,4-11H2,1-2H3,(H,21,22,23)/t13-,14-,15-,16-,17-,18-,19-/m0/s1"
2-hydroxyoleate,JBSOOFITVPOOSY-KTKRTIGZSA-N,"InChI=1S/C18H34O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(19)18(20)21/h9-10,17,19H,2-8,11-16H2,1H3,(H,20,21)/b10-9-"
myristoleoylcarnitine (C14:1)*,ABVVZYXTZLEOHP-OLHLWXQYSA-N,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h8-9,19H,5-7,10-18H2,1-4H3/b9-8-/t19-/m1/s1"
3-hydroxymargarate,FWZUXWSQLNHYIC-UHFFFAOYSA-N,"InChI=1S/C17H34O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16(18)15-17(19)20/h16,18H,2-15H2,1H3,(H,19,20)"
(R)-salsolinol,IBRKLUSXDYATLG-UHFFFAOYSA-N,"InChI=1S/C10H13NO2/c1-6-8-5-10(13)9(12)4-7(8)2-3-11-6/h4-6,11-13H,2-3H2,1H3"
palmitoyl sphingomyelin (d18:1/16:0),RWKUXQNLWDTSLO-GWQJGLRPSA-N,"InChI=1S/C39H79N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-38(42)37(36-47-48(44,45)46-35-34-41(3,4)5)40-39(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h30,32,37-38,42H,6-29,31,33-36H2,1-5H3,(H-,40,43,44,45)/b32-30+/t37-,38+/m0/s1"
1-oleoyl-GPC (18:1),YAMUFBLWGFFICM-PTGWMXDISA-N,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1"
cholesterol,HVYWMOMLDIMFJA-FNOPAARDSA-N,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21?,22+,23-,24+,25+,26+,27-/m1/s1"
N-methylleucine,XJODGRWDFZVTKW-LURJTMIESA-N,"InChI=1S/C7H15NO2/c1-5(2)4-6(8-3)7(9)10/h5-6,8H,4H2,1-3H3,(H,9,10)/t6-/m0/s1"
dodecanedioate (C12),TVIDDXQYHWJXFK-UHFFFAOYSA-N,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)"
glycylisoleucine,KGVHCTWYMPWEGN-FSPLSTOPSA-N,"InChI=1S/C8H16N2O3/c1-3-5(2)7(8(12)13)10-6(11)4-9/h5,7H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t5-,7-/m0/s1"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),WTJKGGKOPKCXLL-MRCUWXFGSA-N,"InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-"
malonylcarnitine,ZGNBLKBZJBJFDG-ZETCQYMHSA-N,"InChI=1S/C10H17NO6/c1-11(2,3)6-7(4-8(12)13)17-10(16)5-9(14)15/h7H,4-6H2,1-3H3,(H-,12,13,14,15)/t7-/m0/s1"
4-hydroxyglutamate,HBDWQSHEVMSFGY-SCQFTWEKSA-N,"InChI=1S/C5H9NO5/c6-2(4(8)9)1-3(7)5(10)11/h2-3,7H,1,6H2,(H,8,9)(H,10,11)/t2-,3?/m0/s1"
2-aminoadipate,OYIFNHCXNCRBQI-UHFFFAOYSA-N,"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)"
alpha-tocopherol,GVJHHUAWPYXKBD-IEOSBIPESA-N,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1"
"N2,N5-diacetylornithine",XUYANFPPYJSBPU-QMMMGPOBSA-N,"InChI=1S/C9H16N2O4/c1-6(12)10-5-3-4-8(9(14)15)11-7(2)13/h8H,3-5H2,1-2H3,(H,10,12)(H,11,13)(H,14,15)/t8-/m0/s1"
4-hydroxycinnamate,NGSWKAQJJWESNS-ZZXKWVIFSA-N,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+"
galactonate,RGHNJXZEOKUKBD-MGCNEYSASA-N,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3+,4+,5-/m1/s1"
cysteine s-sulfate,NOKPBJYHPHHWAN-REOHCLBHSA-N,"InChI=1S/C3H7NO5S2/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/t2-/m0/s1"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,HTZINLFNXLXRBC-CQLBIITFSA-N,"InChI=1S/C24H50NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h18,20,24,26H,5-17,19,21-23H2,1-4H3/b20-18-/t24-/m1/s1"
methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10?/m0/s1"
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3"
glucuronate,AEMOLEFTQBMNLQ-WAXACMCWSA-N,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6-/m0/s1"
N2-acetyllysine,VEYYWZRYIYDQJM-ZETCQYMHSA-N,"InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1"
5-aminovalerate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)"
"N2,N2-dimethylguanosine",RSPURTUNRHNVGF-IOSLPCCCSA-N,"InChI=1S/C12H17N5O5/c1-16(2)12-14-9-6(10(21)15-12)13-4-17(9)11-8(20)7(19)5(3-18)22-11/h4-5,7-8,11,18-20H,3H2,1-2H3,(H,14,15,21)/t5-,7-,8-,11-/m1/s1"
"2R,3R-dihydroxybutyrate",LOUGYXZSURQALL-PWNYCUMCSA-N,"InChI=1S/C4H8O4/c1-2(5)3(6)4(7)8/h2-3,5-6H,1H3,(H,7,8)/t2-,3-/m1/s1"
nicotinamide,DFPAKSUCGFBDDF-UHFFFAOYSA-N,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)"
S-methylmethionine,YDBYJHTYSHBBAU-UHFFFAOYSA-O,"InChI=1S/C6H13NO2S/c1-10(2)4-3-5(7)6(8)9/h5H,3-4,7H2,1-2H3/p+1"
3-hydroxymyristate,ATRNZOYKSNPPBF-UHFFFAOYSA-N,"InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17/h13,15H,2-12H2,1H3,(H,16,17)"
margarate (17:0),KEMQGTRYUADPNZ-UHFFFAOYSA-N,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)"
indolin-2-one,JYGFTBXVXVMTGB-UHFFFAOYSA-N,"InChI=1S/C8H7NO/c10-8-5-6-3-1-2-4-7(6)9-8/h1-4H,5H2,(H,9,10)"
biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1"
2-hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)"
5-dodecenoate (12:1n7),IJBFSOLHRKELLR-FPLPWBNLSA-N,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h7-8H,2-6,9-11H2,1H3,(H,13,14)/b8-7-"
methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"
"N6,N6,N6-trimethyllysine",MXNRLFUSFKVQSK-QMMMGPOBSA-N,"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1"
solifenacin,FBOUYBDGKBSUES-UHFFFAOYSA-N,"InChI=1S/C23H26N2O2/c26-23(27-21-16-24-13-10-18(21)11-14-24)25-15-12-17-6-4-5-9-20(17)22(25)19-7-2-1-3-8-19/h1-9,18,21-22H,10-16H2"
"5alpha-androstan-3beta,17beta-diol disulfate",CBMYJHIOYJEBSB-YSZCXEEOSA-N,"InChI=1S/C19H32O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-17,20-21H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,17-,18-,19-/m0/s1"
N-oleoyltaurine,KOGRJTUIKPMZEJ-KTKRTIGZSA-N,"InChI=1S/C20H39NO4S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(22)21-18-19-26(23,24)25/h9-10H,2-8,11-19H2,1H3,(H,21,22)(H,23,24,25)/b10-9-"
(15:2)-anacardic acid,KAOMOVYHGLSFHQ-UTOQUPLUSA-N,"InChI=1S/C22H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h4-5,7-8,15,17-18,23H,2-3,6,9-14,16H2,1H3,(H,24,25)/b5-4-,8-7-"
dexpanthenol,SNPLKNRPJHDVJA-UHFFFAOYSA-N,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)"
phenol glucuronide,WVHAUDNUGBNUDZ-GOVZDWNOSA-N,"InChI=1S/C12H14O7/c13-7-8(14)10(11(16)17)19-12(9(7)15)18-6-4-2-1-3-5-6/h1-5,7-10,12-15H,(H,16,17)/t7-,8-,9+,10-,12+/m0/s1"
O-sulfo-L-tyrosine,CIQHWLTYGMYQQR-QMMMGPOBSA-N,"InChI=1S/C9H11NO6S/c10-8(9(11)12)5-6-1-3-7(4-2-6)16-17(13,14)15/h1-4,8H,5,10H2,(H,11,12)(H,13,14,15)/t8-/m0/s1"
fructosyllysine,BFSYFTQDGRDJNV-QCNRFFRDSA-N,"InChI=1S/C12H24N2O7/c13-7(12(20)21)3-1-2-4-14-5-8(16)10(18)11(19)9(17)6-15/h7,9-11,14-15,17-19H,1-6,13H2,(H,20,21)/t7-,9-,10-,11-/m1/s1"
8-methoxykynurenate,BXZSKDOPGDPDEG-UHFFFAOYSA-N,"InChI=1S/C11H9NO4/c1-16-9-4-2-3-6-8(13)5-7(11(14)15)12-10(6)9/h2-5H,1H3,(H,12,13)(H,14,15)"
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)"
raltegravir,CZFFBEXEKNGXKS-UHFFFAOYSA-N,"InChI=1S/C20H21FN6O5/c1-10-25-26-17(32-10)16(30)24-20(2,3)19-23-13(14(28)18(31)27(19)4)15(29)22-9-11-5-7-12(21)8-6-11/h5-8,28H,9H2,1-4H3,(H,22,29)(H,24,30)"
hexadecadienoate (16:2n6),WPJGPAAPSBVXNU-HZJYTTRNSA-N,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h6-7,9-10H,2-5,8,11-15H2,1H3,(H,17,18)/b7-6-,10-9-"
N-carboxymethylalanine,XYUPSBLFPTWJLC-UHFFFAOYSA-N,"InChI=1S/C5H9NO4/c1-3(5(9)10)6-2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)"
valsartan,ACWBQPMHZXGDFX-UHFFFAOYSA-N,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)"
dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2"
N-propionylmethionine,RBAAEQRITQHPJM-UHFFFAOYSA-N,"InChI=1S/C8H15NO3S/c1-3-7(10)9-6(8(11)12)4-5-13-2/h6H,3-5H2,1-2H3,(H,9,10)(H,11,12)"
mannonate*,RGHNJXZEOKUKBD-MBMOQRBOSA-N,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5+/m1/s1"
tartarate,FEWJPZIEWOKRBE-JCYAYHJZSA-N,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1"
"N-[3',4'-dihydroxy-(E)-cinnamoyl]-L-tyrosine",JRXLVUMFJASLDR-PXYYCUNGSA-N,"InChI=1S/C18H17NO6/c20-13-5-1-11(2-6-13)9-14(18(24)25)19-17(23)8-4-12-3-7-15(21)16(22)10-12/h1-8,10,14,20-22H,9H2,(H,19,23)(H,24,25)/b8-4+/t14-/m0/s1"
O-acetylhomoserine,FCXZBWSIAGGPCB-YFKPBYRVSA-N,"InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)/t5-/m0/s1"
N-methylhydantoin,RHYBFKMFHLPQPH-UHFFFAOYSA-N,"InChI=1S/C4H6N2O2/c1-6-2-3(7)5-4(6)8/h2H2,1H3,(H,5,7,8)"
N1-Methyl-2-pyridone-5-carboxamide,JLQSXXWTCJPCBC-UHFFFAOYSA-N,"InChI=1S/C7H8N2O2/c1-9-4-5(7(8)11)2-3-6(9)10/h2-4H,1H3,(H2,8,11)"
behenoyl ethanolamide (22:0)*,XHFWUECSNJWBJU-UHFFFAOYSA-N,"InChI=1S/C24H49NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-24(27)25-22-23-26/h26H,2-23H2,1H3,(H,25,27)"
stigmastadienone,MKGZDUKUQPPHFM-LPJPOILFSA-N,"InChI=1S/C29H46O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-9,18-21,24-27H,7,10-17H2,1-6H3/b9-8+/t20-,21-,24+,25-,26+,27+,28+,29-/m1/s1"
enterodiol,DWONJCNDULPHLV-UHFFFAOYSA-N,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2"
imidazole propionate,ZCKYOWGFRHAZIQ-UHFFFAOYSA-N,"InChI=1S/C6H8N2O2/c9-6(10)2-1-5-3-7-4-8-5/h3-4H,1-2H2,(H,7,8)(H,9,10)"
histidine betaine (hercynine)*,GPPYTCRVKHULJH-UHFFFAOYSA-N,"InChI=1S/C9H15N3O2/c1-12(2,3)8(9(13)14)4-7-5-10-6-11-7/h5-6,8H,4H2,1-3H3,(H-,10,11,13,14)"
theobromine,YAPQBXQYLJRXSA-UHFFFAOYSA-N,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)"
"N,N-dimethylalanine",QCYOIFVBYZNUNW-BYPYZUCNSA-N,"InChI=1S/C5H11NO2/c1-4(5(7)8)6(2)3/h4H,1-3H3,(H,7,8)/t4-/m0/s1"
2-methylmalonylcarnitine (C4-DC),XROYFEWIXXCPAW-MQWKRIRWSA-N,"InChI=1S/C11H19NO6/c1-7(10(15)16)11(17)18-8(5-9(13)14)6-12(2,3)4/h7-8H,5-6H2,1-4H3,(H-,13,14,15,16)/t7?,8-/m0/s1"
4-acetamidophenol,RZVAJINKPMORJF-UHFFFAOYSA-N,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)"
3beta-hydroxy-5-cholestenoate,WVXOMPRLWLXFAP-AMQKJUDNSA-N,"InChI=1S/C27H44O3/c1-17(6-5-7-18(2)25(29)30)22-10-11-23-21-9-8-19-16-20(28)12-14-26(19,3)24(21)13-15-27(22,23)4/h8,17-18,20-24,28H,5-7,9-16H2,1-4H3,(H,29,30)/t17-,18?,20+,21+,22-,23+,24+,26+,27-/m1/s1"
lisinopril,RLAWWYSOJDYHDC-UHFFFAOYSA-N,"InChI=1S/C21H31N3O5/c22-13-5-4-9-16(19(25)24-14-6-10-18(24)21(28)29)23-17(20(26)27)12-11-15-7-2-1-3-8-15/h1-3,7-8,16-18,23H,4-6,9-14,22H2,(H,26,27)(H,28,29)"
"3,4-dihydroxyphenylacetate sulfate",ZQTJTTSZJNFQGJ-UHFFFAOYSA-N,"InChI=1S/C8H8O7S/c9-6-3-5(4-8(10)11)1-2-7(6)15-16(12,13)14/h1-3,9H,4H2,(H,10,11)(H,12,13,14)"
2-methylbutyrylcarnitine (C5),IHCPDBBYTYJYIL-UHFFFAOYSA-N,"InChI=1S/C12H23NO4/c1-6-9(2)12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3"
isovalerate (C5),GWYFCOCPABKNJV-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)"
stearoylcarnitine (C18),FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3"
chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1"
naringenin,FTVWIRXFELQLPI-UHFFFAOYSA-N,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2"
p-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H"
acetylcarnitine (C2),RDHQFKQIGNGIED-UHFFFAOYSA-N,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3"
fucose,SHZGCJCMOBCMKK-DHVFOXMCSA-N,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1"
diglycerol,GPLRAVKSCUXZTP-UHFFFAOYSA-N,"InChI=1S/C6H14O5/c7-1-5(9)3-11-4-6(10)2-8/h5-10H,1-4H2"
(3'-5')-cytidylylguanosine,CTMZLDSMFCVUNX-VMIOUTBZSA-N,"InChI=1S/C19H25N8O12P/c20-8-1-2-26(19(33)23-8)17-12(31)13(6(3-28)37-17)39-40(34,35)36-4-7-10(29)11(30)16(38-7)27-5-22-9-14(27)24-18(21)25-15(9)32/h1-2,5-7,10-13,16-17,28-31H,3-4H2,(H,34,35)(H2,20,23,33)(H3,21,24,25,32)/t6-,7-,10-,11-,12-,13-,16-,17-/m1/s1"
21-hydroxypregnanolone monosulfate (1),YNTXPDSHGMGJJG-WPWXJNKXSA-N,"InChI=1S/C21H32O6S/c1-20-9-7-14(22)11-13(20)3-4-15-16-5-6-18(19(23)12-27-28(24,25)26)21(16,2)10-8-17(15)20/h3,14-18,22H,4-12H2,1-2H3,(H,24,25,26)/t14-,15-,16-,17-,18+,20-,21-/m0/s1"
5alpha-pregnan-diol disulfate,LSQGWMYMIHQKSA-UHFFFAOYSA-N,"InChI=1S/C21H36O8S2/c1-13(28-30(22,23)24)17-6-7-18-16-5-4-14-12-15(29-31(25,26)27)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-19H,4-12H2,1-3H3,(H,22,23,24)(H,25,26,27)"
noroxycodone,RIKMCJUNPCRFMW-ISWURRPUSA-N,"InChI=1S/C17H19NO4/c1-21-11-3-2-9-8-12-17(20)5-4-10(19)15-16(17,6-7-18-12)13(9)14(11)22-15/h2-3,12,15,18,20H,4-8H2,1H3/t12-,15+,16+,17-/m1/s1"
3-(3-hydroxyphenyl)propionate,QVWAEZJXDYOKEH-UHFFFAOYSA-N,"InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)"
saccharopine,ZDGJAHTZVHVLOT-YUMQZZPRSA-N,"InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1"
S-1-pyrroline-5-carboxylate,DWAKNKKXGALPNW-UHFFFAOYSA-N,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)"
ascorbic acid 2-sulfate,SKKZOYBAANIUOV-ZAFYKAAXSA-N,"InChI=1S/C6H8O9S/c7-1-2(8)4-3(9)5(6(10)14-4)15-16(11,12)13/h2,4,7-8,10H,1H2,(H,11,12,13)/t2-,4+/m0/s1"
4-hydroxycinnamate sulfate,OYDCCWNLILCHDJ-ZZXKWVIFSA-N,"InChI=1S/C9H8O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)/b6-3+"
C-glycosyltryptophan,CPXSBHKDEPPWIX-RAYCSJGISA-N,"InChI=1S/C17H22N2O7/c18-9(17(24)25)5-8-7-3-1-2-4-10(7)19-12(8)16-15(23)14(22)13(21)11(6-20)26-16/h1-4,9,11,13-16,19-23H,5-6,18H2,(H,24,25)/t9-,11+,13+,14-,15-,16+/m0/s1"
