BIOCHEMICAL,PATHWAY_SORTORDER,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
"1,5-anhydroglucitol (1,5-AG)",1178,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.0612,64960,154-58-5,C07326,HMDB02712
"1,6-anhydroglucose",4636,Xenobiotics,Food Component/Plant,21049,LC/MS Neg,100000939,919.7,161.0455,2724705,498-07-7,,HMDB00640
"1,7-dimethylurate",4486,Xenobiotics,Xanthine Metabolism,34400,LC/MS Neg,100001399,1578.6,195.0524,91611,33868-03-0,C16356,HMDB11103
1-(1-enyl-oleoyl)-GPE (P-18:1)*,2750,Lipid,Lysoplasmalogen,44621,LC/MS Pos Late,100005372,1566,464.3136,,,,
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,2727,Lipid,Plasmalogen,52689,LC/MS Pos Late,100009014,2200,766.5745,,,,HMDB11220
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,2719,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2300,724.5276,,,,HMDB11352
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,2728,Lipid,Plasmalogen,52682,LC/MS Pos Late,100009009,2300,742.5745,,,,HMDB11211
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,2721,Lipid,Plasmalogen,52478,LC/MS Pos Late,100009007,2550,744.5902,,,,
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,2717,Lipid,Plasmalogen,52716,LC/MS Pos Late,100009162,2550,718.5745,11146967,,,HMDB11206
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,2747,Lipid,Lysoplasmalogen,52474,LC/MS Neg,100002875,6450,554.3463,10917802,,,HMDB10407
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,2748,Lipid,Lysoplasmalogen,39270,LC/MS Pos Late,100003000,1558,438.2979,,,,
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,2732,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2550,752.5589,9547058,,,HMDB05779
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,2724,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2750,728.5589,,,,HMDB11376
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),2723,Lipid,Plasmalogen,52614,LC/MS Pos Late,100008919,3100,730.5745,,144371-68-6,,HMDB11375
1-(1-enyl-stearoyl)-GPE (P-18:0)*,2752,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,
1-arachidonylglycerol (20:4),2776,Lipid,Monoacylglycerol,34397,LC/MS Pos Late,100001433,1568,401.2662,5282281,35474-99-8,C13857,HMDB11549
1-carboxyethylisoleucine,364,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.1085,,,,
1-carboxyethylleucine,316,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.1085,,,,
1-carboxyethylphenylalanine,143,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.0928,,,,
1-carboxyethyltyrosine,161,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.0877,,,,
1-carboxyethylvaline,389,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.0928,,,,
1-dihomo-linolenylglycerol (20:3),2775,Lipid,Monoacylglycerol,48341,LC/MS Neg,100006121,6400,305.2486,,,,
1-dihomo-linoleoylglycerol (20:2),2798,Lipid,Monoacylglycerol,35103,LC/MS Neg,100001483,6800,307.2642,,,,
1-linolenoyl-2-hexadecatrienoyl-galactosylglycerol (18:3/16:3),2890,Lipid,Galactosyl Glycerolipids,54890,LC/MS Pos Late,100009396,1911,764.5307,,,,
1-linolenoyl-digalactosylglycerol (18:3)*,2910,Lipid,Galactosyl Glycerolipids,62366,LC/MS Neg,100010888,5668,675.3597,10349562,,,
1-linolenoyl-GPC (18:3)*,2534,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.3241,,,,HMDB10388
1-linolenoyl-GPG (18:3)*,2510,Lipid,Lysophospholipid,62368,LC/MS Neg,100020690,5421,505.2572,,,,
1-linolenoylglycerol (18:3),2771,Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.2173,53480978,124151-74-2,,HMDB11569
1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*,2896,Lipid,Galactosyl Glycerolipids,54896,LC/MS Pos Late,100010872,2073,956.6305,,,,
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*,2895,Lipid,Galactosyl Glycerolipids,54898,LC/MS Pos Late,100010878,2209,794.5777,,,,
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,2283,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.5538,,,,HMDB08141
1-linoleoyl-digalactosylglycerol (18:2)*,2909,Lipid,Galactosyl Glycerolipids,62377,LC/MS Neg,100010887,5820,677.3754,5317594,,,
1-linoleoyl-galactosylglycerol (18:2)*,2903,Lipid,Galactosyl Glycerolipids,62376,LC/MS Neg,100010881,5966,515.3226,5320254,,,
1-linoleoyl-GPA (18:2)*,2506,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.2361,,,,HMDB07856
1-linoleoyl-GPC (18:2),2532,Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.3398,11988421,,C04100,HMDB10386
1-linoleoyl-GPE (18:2)*,2588,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482,478.2928,52925130,,,HMDB11507
1-linoleoyl-GPG (18:2)*,2630,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.2728,,,,
1-linoleoyl-GPI* (18:2)*,2640,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.2889,,,,
1-linoleoylglycerol (18:2),2770,Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.2329,5283469,2277-28-3,,
1-margaroylglycerol (17:0),2767,Lipid,Monoacylglycerol,34391,LC/MS Neg,100001429,6571,269.2486,107036,68002-72-2,,
1-methyl-4-imidazoleacetate,88,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.0659,75810,2625-49-2,C05828,HMDB02820
1-methyl-5-imidazoleacetate,89,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.0659,6451814,4200-48-0,,HMDB04988
1-methyladenine,4054,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.0774,78821,5142-22-3,C02216,HMDB11599
1-methylguanidine,530,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149,74.0713,10111,22661-87-6,C02294,HMDB01522
1-methylhistamine,87,Amino Acid,Histidine Metabolism,43831,LC/MS Pos Early,100001204,3040,126.1026,3614,501-75-7,C05127,HMDB00898
1-methylhistidine,69,Amino Acid,Histidine Metabolism,30460,LC/MS Pos Early,100001051,2755,170.0924,92105,332-80-9,C01152,HMDB00001
1-methylhypoxanthine,4042,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",57771,LC/MS Pos Early,100004644,1530,151.0614,70765,1125-39-9,,HMDB13141
1-methylnicotinamide,4216,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.0709,457,1005-24-9,C02918,HMDB00699
1-methylurate,4483,Xenobiotics,Xanthine Metabolism,34395,LC/MS Pos Early,100001400,1461,183.0513,69726,708-79-2,C16359,HMDB03099
1-methylxanthine,4489,Xenobiotics,Xanthine Metabolism,34389,LC/MS Neg,100001405,1568.8,165.0418,80220,6136-37-4,C16358,HMDB10738
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2188,Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2250,706.5381,129657,69525-80-0,,HMDB07869
1-myristoylglycerol (14:0),2762,Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.2016,79050,75685-84-6,C01885,HMDB11561
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,2271,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2250,784.5851,,,,
1-oleoylglycerophosphate (18:1),2505,Lipid,Lysophospholipid,36812,LC/MS Neg,100001671,5615,435.2517,5497152,325465-93-8,,
1-oleoyl-GPC (18:1),2529,Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.3554,16081932,19420-56-5,,HMDB02815
1-oleoyl-GPE (18:1),2586,Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.3085,9547071,89576-29-4,,HMDB11506
1-oleoyl-GPG (18:1)*,2628,Lipid,Lysophospholipid,45968,LC/MS Pos Late,100005716,1628,511.3029,,,,
1-oleoyl-GPI (18:1),2638,Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.3045,,,,
1-oleoyl-GPS (18:1),2618,Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607,522.2837,9547099,326589-90-6,,HMDB61694
"1-oleoyl-sn-glycero-2',3'-cyclic phosphate",2702,Lipid,Lysophospholipid,37481,LC/MS Neg,100001957,5874,403.2619,,799268-69-2,,
1-oleoylglycerol (18:1),2769,Lipid,Monoacylglycerol,21184,LC/MS Neg,100000924,6650,281.2486,5283468,111-03-5,,HMDB11567
1-palmitoleoylglycerol (16:1)*,2766,Lipid,Monoacylglycerol,52431,LC/MS Neg,100008952,6094,253.2173,,,,
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),2222,Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2200,782.5694,10747814,35418-58-7,,HMDB07982
1-palmitoyl-2-linolenoyl-digalactosylglycerol (16:0/18:3),2888,Lipid,Galactosyl Glycerolipids,54893,LC/MS Pos Late,100010875,2278,932.6305,,,,
1-palmitoyl-2-linolenoyl-galactosylglycerol (16:0/18:3)*,2887,Lipid,Galactosyl Glycerolipids,54900,LC/MS Pos Late,100010894,2455,770.5777,,,,
1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,2885,Lipid,Galactosyl Glycerolipids,54887,LC/MS Pos Late,100010874,2498,934.6462,,,,
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,2886,Lipid,Galactosyl Glycerolipids,54901,LC/MS Pos Late,100010893,2731,772.5933,,,,
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),2211,Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.5694,5287971,40811-94-7,,HMDB07973
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),2456,Lipid,Phosphatidylinositol (PI),52450,LC/MS Polar,1528,910,833.5185,,,,HMDB09784
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),2208,Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2450,760.5851,6436017,26853-31-6;26853-31-6,,HMDB07972
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),2329,Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2600,718.5381,5283496,26662-94-2,,HMDB05320
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,2205,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2200,732.5538,,,,
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),2206,Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2750,762.6007,24778686,59403-51-9,,HMDB07970
1-palmitoyl-digalactosylglycerol (16:0)*,2907,Lipid,Galactosyl Glycerolipids,62374,LC/MS Neg,100010890,5979,653.3754,,,,
1-palmitoyl-galactosylglycerol (16:0)*,2899,Lipid,Galactosyl Glycerolipids,62372,LC/MS Neg,100010885,6161,491.3226,10413348,,,
1-palmitoyl-GPA (16:0),2501,Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.2361,6419701,17618-08-5,C04036,HMDB00327
1-palmitoyl-GPC (16:0),2518,Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.3398,86554,17364-16-8,,HMDB10382
1-palmitoyl-GPE (16:0),2577,Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.2928,9547069,53862-35-4,,HMDB11503
1-palmitoyl-GPG (16:0)*,2623,Lipid,Lysophospholipid,45970,LC/MS Pos Late,100005717,1617,485.2874,3300276,,,
1-palmitoyl-GPI* (16:0),2632,Lipid,Lysophospholipid,35305,LC/MS Neg,100001655,5564,571.2889,,,,HMDB61695
1-palmitoyl-GPS (16:0)*,2616,Lipid,Lysophospholipid,46130,LC/MS Neg,100005805,5572,496.2681,9547100,,,
1-palmitoyl-sulfoquinovopyranosyl-glycerol (16:0)*,2795,Lipid,Monoacylglycerol,62379,LC/MS Neg,100016115,5543,555.2845,,,,
1-palmitoylglycerol (16:0),2765,Lipid,Monoacylglycerol,21127,LC/MS Neg,100000827,6550,255.2329,14900,542-44-9,,HMDB31074
1-pentadecanoylglycerol (15:0),2764,Lipid,Monoacylglycerol,47898,LC/MS Neg,100001431,6200,241.2173,190750,104140-07-0,,
1-ribosyl-imidazoleacetate*,93,Amino Acid,Histidine Metabolism,61868,LC/MS Pos Early,100001668,2006,259.0925,5117448,29605-99-0,C05131,HMDB02331
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),2256,Lipid,Phosphatidylcholine (PC),42450,LC/MS Pos Late,100001869,2400,810.6007,16219824,35418-59-8,,HMDB08048
1-stearoyl-2-oleoyl-GPC (18:0/18:1),2245,Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644,788.6164,,56421-10-4,,HMDB08038
1-stearoyl-2-oleoyl-GPE (18:0/18:1),2346,Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2950,746.5694,,,,HMDB08993
1-stearoyl-2-oleoyl-GPS (18:0/18:1),2426,Lipid,Phosphatidylserine (PS),19265,LC/MS Pos Late,100000639,3000,790.5593,9547087,,,HMDB10163
1-stearoyl-GPA (18:0),2504,Lipid,Lysophospholipid,36810,LC/MS Neg,100001670,5829,437.2674,89567,325465-92-7;799268-65-8,,
1-stearoyl-GPC (18:0),2527,Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606,524.3711,497299,19420-57-6,,HMDB10384
1-stearoyl-GPE (18:0),2584,Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626,482.3241,9547068,69747-55-3,,HMDB11130
1-stearoyl-GPG (18:0),2626,Lipid,Lysophospholipid,34437,LC/MS Neg,100001462,5816,511.3041,,,,
1-stearoyl-GPI (18:0),2636,Lipid,Lysophospholipid,19324,LC/MS Neg,100000656,5794,599.3202,,796963-93-4,,HMDB61696
1-stearoyl-GPS (18:0)*,2617,Lipid,Lysophospholipid,45966,LC/MS Pos Late,100004327,1634,526.314,9547101,,,
10-heptadecenoate (17:1n7),1482,Lipid,Long Chain Monounsaturated Fatty Acid,33971,LC/MS Neg,100001278,5555,267.233,5312435,29743-97-3,,HMDB60038
10-hydroxystearate,1945,Lipid,"Fatty Acid, Monohydroxy",47123,LC/MS Neg,100005852,5370,299.2592,9561835,,,HMDB37396
10-nonadecenoate (19:1n9),1491,Lipid,Long Chain Monounsaturated Fatty Acid,33972,LC/MS Neg,100001277,5780,295.2643,5312513,73033-09-7,,HMDB13622
10-undecenoate (11:1n1),1451,Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.1391,14891,1333-28-4,C13910,HMDB33724
11-ketoetiocholanolone sulfate,3245,Lipid,Androgenic Steroids,38167,LC/MS Neg,100002125,4420,383.1534,,,,
11beta-hydroxyetiocholanolone glucuronide*,3267,Lipid,Androgenic Steroids,64418,LC/MS Neg,100020542,4160,481.2443,1864,17181-15-6,,
"12,13-DiHOME",1970,Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.2384,10236635,263399-35-5,C14829,HMDB04705
12-dehydrocholate,3440,Lipid,Secondary Bile Acid Metabolism,44644,LC/MS Neg,100001072,4871,405.2646,94235,2458-08-4;2458-08-4,,HMDB00400
12-ketolithocholate,3403,Lipid,Secondary Bile Acid Metabolism,63118,LC/MS Neg,100020859,5130,389.2697,3080612,5130-29-0,,HMDB00328
13-HODE + 9-HODE,1954,Lipid,"Fatty Acid, Monohydroxy",37752,LC/MS Neg,100002196,5275,295.2283,,,,
16a-hydroxy DHEA 3-sulfate,3249,Lipid,Androgenic Steroids,38168,LC/MS Neg,100002126,4240,383.1534,,,,
2'-deoxyadenosine,4075,Nucleotide,"Purine Metabolism, Adenine containing",1553,LC/MS Pos Early,211,2252,252.1091,13730,16373-93-6,C00559,HMDB00101
2'-deoxyadenosine 5'-monophosphate,4073,Nucleotide,"Purine Metabolism, Adenine containing",46333,LC/MS Pos Early,100000485,1284,332.0755,12599,653-63-4,C00360,HMDB00905
2'-deoxycytidine,4166,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos Early,100000125,2193,228.0979,13711,951-77-9,C00881,HMDB00014
dCMP,4164,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",533,LC/MS Pos Early,298,975,308.0642,13945,1032-65-1,C00239,HMDB01202
2'-deoxyguanosine,4106,Nucleotide,"Purine Metabolism, Guanine containing",1411,LC/MS Neg,348,1700,266.0895,187790,961-07-9,C00330,HMDB00085
2'-deoxyguanosine 5'-monophosphate (dGMP),4104,Nucleotide,"Purine Metabolism, Guanine containing",35662,LC/MS Pos Early,100001546,950,348.0704,65059,902-04-5,C00362,HMDB01044
2'-deoxyinosine,4033,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,LC/MS Neg,100000135,1688,251.0786,65058,890-38-0,C05512,HMDB00071
2'-deoxyuridine,4141,Nucleotide,"Pyrimidine Metabolism, Uracil containing",52602,LC/MS Neg,536,1586,227.0673,13712,951-78-0,C00526,HMDB00012
2'-O-methyluridine,4129,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.0779,102212,2140-76-3,,
"2,3-dihydroxy-2-methylbutyrate",397,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Polar,100010869,1318,133.0506,301941,14868-24-7,,HMDB29576
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",416,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62805,LC/MS Neg,100020893,1156,177.0227,,,,
"2,3-dihydroxyisovalerate",4639,Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.0506,677,1756-18-9,C04039,HMDB12141
"2,3-dimethylsuccinate",383,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",20703,LC/MS Polar,100000849,2800,145.0506,11848,13545-04-5,,
"2,4,6-trihydroxybenzoate",4383,Xenobiotics,Benzoate Metabolism,35892,LC/MS Neg,100001718,1574,169.0142,66520,83-30-7,,HMDB29649
"2,4-dihydroxybutyrate",1976,Lipid,"Fatty Acid, Dihydroxy",62951,LC/MS Polar,100002285,1793,119.035,192742,1518-62-3,,HMDB00360
"2,4-dihydroxyhydrocinnamate",4464,Xenobiotics,Benzoate Metabolism,47113,LC/MS Neg,100005258,1759,181.0506,96384,5631-68-5,,HMDB0126386
"2,6-dihydroxybenzoic acid",5716,Xenobiotics,Drug - Topical Agents,63042,LC/MS Polar,100020837,729,153.0193,9338,303-07-1,,HMDB13676
"2,8-quinolinediol",4643,Xenobiotics,Food Component/Plant,42975,LC/MS Pos Early,100004206,2514,162.055,97250,15450-76-7,C06342,
"2,8-quinolinediol sulfate",4644,Xenobiotics,Food Component/Plant,48691,LC/MS Neg,100004321,2612,239.9972,,,,
2-acetamidobutanoate,5136,Xenobiotics,Bacterial/Fungal,53232,LC/MS Polar,100009237,1340,144.0666,306107,,,
2-acetamidophenol sulfate,5100,Xenobiotics,Food Component/Plant,48580,LC/MS Neg,100006190,2251,230.0129,181671,40712-60-5,,
2-acetolactate,4680,Xenobiotics,Food Component/Plant,38645,LC/MS Neg,100002418,1300,131.035,22,6034-46-4,C00900,HMDB06833
2-aminoadipate,120,Amino Acid,Lysine Metabolism,6146,LC/MS Polar,381,3500,160.0615,469,542-32-5;1118-90-7,C00956,HMDB00510
2-aminophenol,5102,Xenobiotics,Food Component/Plant,38109,LC/MS Pos Early,100002382,2644,110.06,5801,95-55-6,C01987,
2-aminophenol sulfate,5101,Xenobiotics,Food Component/Plant,43266,LC/MS Neg,100004322,1677,188.0023,181670,,,HMDB61116
2-arachidonoylglycerol (20:4),2787,Lipid,Monoacylglycerol,19266,LC/MS Neg,100000584,6170,303.2329,5282280,53847-30-6,C13856,HMDB04666
2-dihomo-linoleoylglycerol (20:2)*,2774,Lipid,Monoacylglycerol,62450,LC/MS Neg,100020771,6700,307.2642,,,,
2-dimethylaminoethanol,5064,Xenobiotics,Food Component/Plant,42562,LC/MS Pos Early,100001630,1983,90.0913,,108-01-0,D07777,HMDB32231
2-hydroxy-3-methylvalerate,367,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.0714,164623,488-15-3,,HMDB00317
2-hydroxy-4-(methylthio)butanoic acid,417,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",63739,LC/MS Polar,100021372,1065,149.0278,,583-91-5,,
2-hydroxyacetaminophen sulfate*,5187,Xenobiotics,"Drug - Analgesics, Anesthetics",33173,LC/MS Neg,100001791,1674,246.0078,86290013,,,
2-hydroxyadipate,1618,Lipid,"Fatty Acid, Dicarboxylate",31934,LC/MS Polar,100001153,3000,161.0455,193530,18294-85-4,C02360,HMDB00321
2-hydroxyarachidate*,1913,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.2905,5225199,,,
