Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
C18n_QI38__eicosenoate,309.2801,C18-neg,True,Eicosenoic acid,HMDB0002231,C16526,BITHHVVYSMSWAG-KTKRTIGZSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI16__C18:0 LPE,482.3242,C8-pos,False,LysoPE(18:0/0:0),HMDB0011130,C21484,,
HILp_TF40__imidazoleacetic acid,127.0506,HILIC-pos,True,Imidazoleacetic acid,HMDB0002024,C02835,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,10000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000001000110000011001011000000100001011011001100000010110110010011001001000000000101010000000000100010100111101110110110000000000000000001000000000101101101100010001001010100000000000010101000110000001001110000111000000001000100000000110100000011000010000001000110100000000000101000100000000000000000011100101000000000011010000000100000000100000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI13__C16:0 LPE,454.2928,C8-pos,False,LysoPE(16:0/0:0),HMDB0011503,,,
C18n_QI17__myristoleate,225.1855,C18-neg,True,Myristoleic acid,HMDB0002000,C08322,YWWVWXASSLXJHU-WAYWQWQTSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI3009__citrulline,176.1034,HILIC-pos,False,Citrulline,HMDB0000904,C00327,RHGKLRLOHDJJDR-BYPYZUCNSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010110000000000001000000000000010000000000000000000100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000100000100000000000010010000000001000000000000000000001000100000000000000000001000001011000000010000000000000000000000000100110000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI484__histamine,112.0876,HILIC-pos,True,Histamine,HMDB0000870,C00388,NTYJJOPFIAHURM-UHFFFAOYSA-N,11000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001110000000000000100000000000000000000000000000000100000001000110000010001011000000100001011011001000000010110110010011001000000000000101000000000000100010100011001110110010000000000000000001000000000101101101100010001001010100000000000010101000110000000001110000111000000001000100000000110100000000000010000001100100100000001000101000000000000000000000010000001000000000010010000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI13__caprate,171.1381,C18-neg,True,Capric acid,HMDB0000511,C01571,GHVNFZFCNZKVNT-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI2979__arginine,175.1193,HILIC-pos,False,L-Arginine,HMDB0000517,C00062,ODKSFYDXXFIFQN-BYPYZUCNSA-N,11000000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI60__C22:0 SM,787.6648,C8-pos,False,SM(d18:1/22:0),HMDB0012103,C00550,,
HILn_QI84__malate,133.0143,HILIC-neg,True,L-Malic acid,HMDB0000156,C00149,BJEPYKJPYRNKOW-REOHCLBHSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000010100000000000000000000000000000000000100000000000000000001010010000000000000000000010000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1048__metformin,130.1093,HILIC-pos,True,"1,1-Dimethylbiguanide",HMDB0001921,C07151,XZWYZXLIPXDOLR-UHFFFAOYSA-N,11000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000100000000000000000000000000000000000000000000000000000000000000000100000000110000000000000011010000000000000000000000001000000000000000000000000000000010010000000000000000000000000000000001100000000000000000000000000000010000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI215__piperine,286.1437,C8-pos,False,Piperine,HMDB0029377,C03882,MXXWOMGUGJBKIW-YPCIICBESA-N,11100000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001111000100000000000000000000000000000000000000000000000000000001001000000000010000000000000000000000000001111000000000000000000000000000000000000000000000110000000100110000011001100000000111001100000000111010000011000000000000010000000000100010000000001000100001010100100001000000000000100000100000100000000000001000000010000000000000000010001000100000000000000011101000100011001000000111010010011000100010100001001011000100011010101001000011000000100010001001001100011000010001100011101010100110000111100100001100000000010000000011100010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000
C18n_QI88__urobilin,593.334,C18-neg,False,L-Urobilin,HMDB0004159,C05793,DEEUSUJLZQQESV-RWPZCVJISA-N,
HILn_TF4__arginine,173.1044,HILIC-neg,False,L-Arginine,HMDB0000517,C00062,ODKSFYDXXFIFQN-BYPYZUCNSA-N,11000000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF23__C18:1-OH carnitine,442.3536,HILIC-pos,True,3-Hydroxy-11Z-octadecenoylcarnitine,HMDB0013339,,,
HILn_QI5__2-hydroxy-3-methylbutyrate,117.0558,HILIC-neg,True,2-Hydroxy-3-methylbutyric acid,HMDB0000407,,,
HILp_TF16__nicotinuric acid,181.0612,HILIC-pos,True,Nicotinuric acid,HMDB0003269,C05380,ZBSGKPYXQINNGF-UHFFFAOYSA-N,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000110000000000110000011001101000000100001111001000100010010010110010000001001000000000101010000000001000110001111101110101110000000000100000101000000000100000001101010000001000100000000010001101100010100001101110000110010011011000000010100010000011111010110000001101010110110001100001000010000110001000011000001000011000000000110110001100100111000110000110000000000100000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI39__arachidate,311.2958,C18-neg,True,Arachidic acid,HMDB0002212,C06425,VKOBVWXKNCXXDE-UHFFFAOYSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_TF13__oxalate,88.988,HILIC-neg,True,Oxalic acid,HMDB0002329,C00209,MUBZPKHOEPUJKR-UHFFFAOYSA-N,00000000010000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF17__C18:0 LPE-A,482.3255,HILIC-pos,False,LysoPE(18:0/0:0),HMDB0011130,C21484,,
HILn_QI120__threonine,118.0511,HILIC-neg,True,L-Threonine,HMDB0000167,C00188,AYFVYJQAPQTCCC-GBXIJSLDSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000010100000000000000000000000000000000000100000000000000000001010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI166__NH4_C51:1 TAG,864.8026,C8-pos,True,,,,,
HILn_QI28__alpha-ketoisovalerate,115.0401,HILIC-neg,True,Alpha-ketoisovaleric acid,HMDB0000019,C00141,QHKABHOOEWYVLI-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100000100100000001000000000000000000000100000100000000000000000000000001000000000000010000000000010000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF25__C8 carnitine,288.2172,HILIC-pos,True,L-Octanoylcarnitine,HMDB0000791,C02838,CXTATJFJDMJMIY-CYBMUJFWSA-N,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000100000010100111000011000000000000110000000100000100000000011000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000100000000000010110000000001000000000000000000001110000000000000000000001010010000000000000000100000000000000000001101011001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI28433__propionate,73.0295,HILIC-neg,True,Propionic acid,HMDB0000237,C00163,XBDQKXXYIPTUBI-UHFFFAOYSA-N,10000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF11__cytidine,244.0932,HILIC-pos,True,Cytidine,HMDB0000089,C00475,UHDGCWIWMRVCDJ-XVFCMESISA-N,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011000000000101010000000000000100010011001100111010000000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000110001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000100110000000000000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
