,inchikey,hmdb,kegg,inchi code
C02256_Castanospermine,JDVVGAQPNNXQDW-TVNFTVLESA-N,,C02256,"InChI=1S/C8H15NO4/c10-4-1-2-9-3-5(11)7(12)8(13)6(4)9/h4-8,10-13H,1-3H2/t4-,5-,6+,7+,8+/m0/s1"
C00296_Quinate,AAWZDTNXLSGCEK-WYWMIBKRSA-N,HMDB0003072,C00296,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5-,7+/m1/s1"
-_SDMA,HVPFXCBJHIIJGS-LURJTMIESA-N,HMDB0003334,,"InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1"
C01104_Trimethylamine N-oxide,UYPYRKYUKCHHIB-UHFFFAOYSA-N,HMDB0000925,C01104,"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3"
C02242_7-Methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,HMDB0000897,C02242,"InChI=1S/C6H7N5O/c1-11-2-8-4-3(11)5(12)10-6(7)9-4/h2H,1H3,(H3,7,9,10,12)"
C00250_Pyridoxal,RADKZDMFGJYCBB-UHFFFAOYSA-N,HMDB0001545,C00250,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3"
C01047_N-gamma-Ethylglutamine,DATAGRPVKZEWHA-YFKPBYRVSA-N,HMDB0034365,C01047,"InChI=1S/C7H14N2O3/c1-2-9-6(10)4-3-5(8)7(11)12/h5H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t5-/m0/s1"
C00158_Citrate,KRKNYBCHXYNGOX-UHFFFAOYSA-N,HMDB0000094,C00158,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
C06772_Diethanolamine,ZBCBWPMODOFKDW-UHFFFAOYSA-N,HMDB0004437,C06772,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2"
C11527_4-Hydroxymandelate,YHXHKYRQLYQUIH-UHFFFAOYSA-N,HMDB0000822,C11527,"InChI=1S/C8H8O4/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7,9-10H,(H,11,12)"
C00879_Mucate,DSLZVSRJTYRBFB-DUHBMQHGSA-N,HMDB0000639,C00879,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-"
C00931_Porphobilinogen,QSHWIQZFGQKFMA-UHFFFAOYSA-N,HMDB0000245,C00931,"InChI=1S/C10H14N2O4/c11-4-8-7(3-10(15)16)6(5-12-8)1-2-9(13)14/h5,12H,1-4,11H2,(H,13,14)(H,15,16)"
C01571_Decanoate,GHVNFZFCNZKVNT-UHFFFAOYSA-N,HMDB0000511,C01571,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)"
C00314_Pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,HMDB0000239,C00314,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3"
C00170_5-Methylthioadenosine,WUUGFSXJNOTRMR-IOSLPCCCSA-N,HMDB0001173,C00170,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
C00670_Glycerophosphorylcholine,SUHOQUVVVLNYQR-MRVPVSSYSA-O,HMDB0000086,C00670,"InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1/t8-/m1/s1"
C00864_Pantothenate,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1"
C00695_Cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1"
C00860_Histidinol,ZQISRDCJNBUVMM-YFKPBYRVSA-N,HMDB0003431,C00860,"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"
C05598_Phenaceturate,UTYVDVLMYQPLQB-UHFFFAOYSA-N,HMDB0000821,C05598,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)"
C02356_2AB,QWCKQJZIFLGMSD-VKHMYHEASA-N,HMDB0000452,C02356,"InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1"
C05771_Isopropanolamine,HXKKHQJGJAFBHI-UHFFFAOYSA-N,HMDB0012136,C05771,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3"
C02115_Alpha-Methylserine,CDUUKBXTEOFITR-SCSAIBSYSA-N,,C02115,"InChI=1S/C4H9NO3/c1-4(5,2-6)3(7)8/h6H,2,5H2,1H3,(H,7,8)/t4-/m1/s1"
C00430_5-Aminolevulinate,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,HMDB0001149,C00430,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)"
C01042_N-Acetylaspartate,OTCCIMWXFLJLIA-BYPYZUCNSA-N,HMDB0000812,C01042,"InChI=1S/C6H9NO5/c1-3(8)7-4(6(11)12)2-5(9)10/h4H,2H2,1H3,(H,7,8)(H,9,10)(H,11,12)/t4-/m0/s1"
C02614_Citramalate,XFTRTWQBIOMVPK-YFKPBYRVSA-N,HMDB0000426,C02614,"InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)/t5-/m0/s1"
C01879_5-Oxoproline,ODHCTXKNWHHXJC-VKHMYHEASA-N,HMDB0000267,C01879,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1"
C16741_5-Hydroxylysine,YSMODUONRAFBET-UHNVWZDZSA-N,HMDB0000450,C16741,"InChI=1S/C6H14N2O3/c7-3-4(9)1-2-5(8)6(10)11/h4-5,9H,1-3,7-8H2,(H,10,11)/t4-,5+/m1/s1"
C00064_Gln,ZDXPYRJPNDTMRX-VKHMYHEASA-N,HMDB0000641,C00064,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1"
C00387_Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,HMDB0000133,C00387,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1"
"C00134_Putrescine(1,4-Butanediamine)",KIDHWZJUCRJVML-UHFFFAOYSA-N,HMDB0001414,C00134,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2
C00299_Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,HMDB0000296,C00299,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"
C00398_Tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,HMDB0000303,C00398,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2"
C02567_N1-Acetylspermine_div,GUNURVWAJRRUAV-UHFFFAOYSA-N,HMDB0001186,C02567,"InChI=1S/C12H28N4O/c1-12(17)16-11-5-10-15-8-3-2-7-14-9-4-6-13/h14-15H,2-11,13H2,1H3,(H,16,17)"
"C06057_3-Aminopropane-1,2-diol",KQIGMPWTAHJUMN-VKHMYHEASA-N,,C06057,"InChI=1S/C3H9NO2/c4-1-3(6)2-5/h3,5-6H,1-2,4H2/t3-/m0/s1"
C00148_Pro,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"
C00114_Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,HMDB0000097,C00114,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1"
C17714_Heptanoate,MNWFXJYAOYHMED-UHFFFAOYSA-N,HMDB0000666,C17714,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)"
C00493_Shikimate,JXOHGGNKMLTUBP-HSUXUTPPSA-N,HMDB0003070,C00493,"InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/t4-,5-,6-/m1/s1"
C00294_Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,HMDB0000195,C00294,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1"
C00719_Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,HMDB0000043,C00719,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"
C02713_N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,HMDB0060493,C02713,"InChI=1S/C11H19NO8/c1-4(10(16)17)19-9-7(12-5(2)14)11(18)20-6(3-13)8(9)15/h4,6-9,11,13,15,18H,3H2,1-2H3,(H,12,14)(H,16,17)/t4-,6-,7-,8-,9-,11?/m1/s1"
C00077_Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,HMDB0000214,C00077,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1"
C07044_Hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,HMDB0015140,C07044,"InChI=1S/CH4N2O2/c2-1(4)3-5/h5H,(H3,2,3,4)"
C02735_Phenylethanolamine,ULSIYEODSMZIPX-UHFFFAOYSA-N,HMDB0001065,C02735,"InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2"
C04501_N-Acetylglucosamine 1-phosphate,FZLJPEPAYPUMMR-FMDGEEDCSA-N,HMDB0001367,C04501,"InChI=1S/C8H16NO9P/c1-3(11)9-5-7(13)6(12)4(2-10)17-8(5)18-19(14,15)16/h4-8,10,12-13H,2H2,1H3,(H,9,11)(H2,14,15,16)/t4-,5-,6-,7-,8-/m1/s1"
C00624_N-Acetylglutamate,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1"
C00315_Spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,HMDB0001257,C00315,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2"
C00407_Ile,AGPKZVBTJJNPAG-WHFBIAKZSA-N,HMDB0000172,C00407,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1"
C00491_Cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,HMDB0000192,C00491,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1"
C00847_4-Pyridoxate,HXACOUQIXZGNBF-UHFFFAOYSA-N,HMDB0000017,C00847,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)"
C05341_beta-Ala-Lys,PLDCWKCPEXNWJH-ZETCQYMHSA-N,HMDB0060442,C05341,"InChI=1S/C9H19N3O3/c10-5-2-1-3-7(9(14)15)12-8(13)4-6-11/h7H,1-6,10-11H2,(H,12,13)(H,14,15)/t7-/m0/s1"
C00300_Creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,HMDB0000064,C00300,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)"
C01015_Hydroxyproline,PMMYEEVYMWASQN-IMJSIDKUSA-N,HMDB0240251,C01015,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4-/m0/s1"
C01736_Purine riboside,MRWXACSTFXYYMV-FDDDBJFASA-N,HMDB0029956,C01736,"InChI=1S/C10H12N4O4/c15-2-6-7(16)8(17)10(18-6)14-4-13-5-1-11-3-12-9(5)14/h1,3-4,6-8,10,15-17H,2H2/t6-,7-,8-,10-/m1/s1"
C05984_2-Hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-N,HMDB0000008,C05984,"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m0/s1"
C00183_Val,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"
C00612_N1-Acetylspermidine,MQTAVJHICJWXBR-UHFFFAOYSA-N,HMDB0001276,C00612,"InChI=1S/C9H21N3O/c1-9(13)12-8-4-7-11-6-3-2-5-10/h11H,2-8,10H2,1H3,(H,12,13)"
C01046_N-Methylglutamate,XLBVNMSMFQMKEY-BYPYZUCNSA-N,HMDB0062660,C01046,"InChI=1S/C6H11NO4/c1-7-4(6(10)11)2-3-5(8)9/h4,7H,2-3H2,1H3,(H,8,9)(H,10,11)/t4-/m0/s1"
C00153_Nicotinamide,DFPAKSUCGFBDDF-UHFFFAOYSA-N,HMDB0001406,C00153,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)"
C01585_Hexanoate,FUZZWVXGSFPDMH-UHFFFAOYSA-N,HMDB0000535,C01585,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"
C00073_Met,FFEARJCKVFRZRR-BYPYZUCNSA-N,HMDB0000696,C00073,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"
C05584_4-Hydroxy-3-methoxymandelate,CGQCWMIAEPEHNQ-UHFFFAOYSA-N,HMDB0000291,C05584,"InChI=1S/C9H10O5/c1-14-7-4-5(2-3-6(7)10)8(11)9(12)13/h2-4,8,10-11H,1H3,(H,12,13)"
C00092_G6P,NBSCHQHZLSJFNQ-GASJEMHNSA-N,HMDB0001401,C00092,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1"
C02710_N-Acetylleucine,WXNXCEHXYPACJF-ZETCQYMHSA-N,HMDB0011756,C02710,"InChI=1S/C8H15NO3/c1-5(2)4-7(8(11)12)9-6(3)10/h5,7H,4H2,1-3H3,(H,9,10)(H,11,12)/t7-/m0/s1"
C04294_4-Methyl-5-thiazoleethanol,BKAWJIRCKVUVED-UHFFFAOYSA-N,HMDB0032985,C04294,"InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3"
C00078_Trp,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"
C01921_Glycocholate,RFDAIACWWDREDC-FRVQLJSFSA-N,HMDB0000138,C01921,"InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1"
C02679_Dodecanoate,POULHZVOKOAJMA-UHFFFAOYSA-N,HMDB0000638,C02679,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"
"C00986_1,3-Diaminopropane",XFNJVJPLKCPIBV-UHFFFAOYSA-N,HMDB0000002,C00986,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2
C04137_Octopine,IMXSCCDUAFEIOE-GDVGLLTNSA-N,,C04137,"InChI=1S/C9H18N4O4/c1-5(7(14)15)13-6(8(16)17)3-2-4-12-9(10)11/h5-6,13H,2-4H2,1H3,(H,14,15)(H,16,17)(H4,10,11,12)/t5?,6-/m0/s1"
C03406_Argininosuccinate,KDZOASGQNOPSCU-WDSKDSINSA-N,HMDB0000052,C03406,"InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)/t5-,6-/m0/s1"
C02712_N-Acetylmethionine,XUYPXLNMDZIRQH-LURJTMIESA-N,HMDB0011745,C02712,"InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1"
"C03413_N1,N12-Diacetylspermine",NPDTUDWGJMBVEP-UHFFFAOYSA-N,HMDB0002172,C03413,"InChI=1S/C14H30N4O2/c1-13(19)17-11-5-9-15-7-3-4-8-16-10-6-12-18-14(2)20/h15-16H,3-12H2,1-2H3,(H,17,19)(H,18,20)"
C04483_DCA,KXGVEGMKQFWNSR-LLQZFEROSA-N,HMDB0000626,C04483,"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1"
C01425_Glu-Glu,KOSRFJWDECSPRO-WDSKDSINSA-N,HMDB0028818,C01425,"InChI=1S/C10H16N2O7/c11-5(1-3-7(13)14)9(17)12-6(10(18)19)2-4-8(15)16/h5-6H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1"
C02918_1-Methylnicotinamide,LDHMAVIPBRSVRG-UHFFFAOYSA-O,HMDB0000699,C02918,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1"
C00015_UDP,XCCTYIAWTASOJW-XVFCMESISA-N,HMDB0000295,C00015,"InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"
C00062_Arg,ODKSFYDXXFIFQN-BYPYZUCNSA-N,HMDB0000517,C00062,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"
C03519_N-Acetylphenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,HMDB0000512,C03519,"InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1"
C00318_Carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,HMDB0000062,C00318,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"
C03264_2-Hydroxy-4-methylpentanoate,LVRFTAZAXQPQHI-RXMQYKEDSA-N,HMDB0000665,C03264,"InChI=1S/C6H12O3/c1-4(2)3-5(7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)/t5-/m1/s1"
C00311_Isocitrate,ODBLHEXUDAPZAU-UHFFFAOYSA-N,HMDB0000193,C00311,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)"
C05582_Homovanillate,QRMZSPFSDQBLIX-UHFFFAOYSA-N,HMDB0000118,C05582,"InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)"
C00242_Guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,HMDB0000132,C00242,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)"
C01586_Hippurate,QIAFMBKCNZACKA-UHFFFAOYSA-N,HMDB0000714,C01586,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)"
C06524_Nornicotine,MYKUKUCHPMASKF-UHFFFAOYSA-N,HMDB0001126,C06524,"InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2"
C00364_dTMP,GYOZYWVXFNDGLU-XLPZGREQSA-N,HMDB0001227,C00364,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1"
C00093_Glycerophosphate,AWUCVROLDVIAJX-GSVOUGTGSA-N,HMDB0000126,C00093,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1"
C01620_Threonate,JPIJQSOTBSSVTP-STHAYSLISA-N,HMDB0000943,C01620,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1"
C08261_Azelate,BDJRBEYXGGNYIS-UHFFFAOYSA-N,HMDB0000784,C08261,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)"
