BIOCHEMICAL,pathway_sortorder,super_pathway,sub_pathway,comp_id,platform,chemical_id,ri,mass,pubchem,cas,kegg,hmdb,inchikey
fructose,1302,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",48195,LC/MS Polar,878,2065.0,225.0616,5984,57-48-7,C00095,HMDB00660,
dimethylglycine,6,Amino Acid,"Glycine, Serine and Threonine Metabolism",5086,LC/MS Pos Early,806,1104.0,104.0706,673,1118-68-9,C01026,HMDB00092,
ergosterol,3138,Lipid,Sterol,27553,LC/MS Pos Late,100001020,2420.0,379.3359,444679,57-87-4,C01694,HMDB00878,
dihydrocaffeate sulfate (2),4700,Xenobiotics,Food Component/Plant,62524,LC/MS Neg,100020822,930.0,261.0074,,,,,
2'-deoxyuridine,4141,Nucleotide,"Pyrimidine Metabolism, Uracil containing",52602,LC/MS Neg,536,1586.0,227.0673,13712,951-78-0,C00526,HMDB00012,
berberine,5020,Xenobiotics,Food Component/Plant,38626,LC/MS Pos Late,100002774,795.0,336.12300000000005,,633-66-9,,,
gamma-glutamylglycine,603,Peptide,Gamma-glutamyl Amino Acid,33949,LC/MS Pos Early,100001294,1535.0,205.0819,165527,1948-29-4,,HMDB11667,
octadecanedioate (C18),1649,Lipid,"Fatty Acid, Dicarboxylate",36754,LC/MS Neg,100001615,5043.0,313.2384,70095,871-70-5,,HMDB00782,
leucylglycine,834,Peptide,Dipeptide,40045,LC/MS Pos Early,100003185,2778.0,189.1234,79070,686-50-0,,HMDB28929,
sulfate*,5816,Xenobiotics,Chemical,46960,LC/MS Neg,100002528,616.0,96.9601,1118,14808-79-8,C00059,HMDB01448,
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",3043,Lipid,Sphingomyelins,52437,LC/MS Pos Late,100008957,2750.0,811.6687,52931215,,,,
ondansetron,5509,Xenobiotics,Drug - Gastrointestinal,57794,LC/MS Pos Late,100015776,760.0,294.1601,4595,99614-02-5,"C07325,D00456",HMDB05035,
gamma-glutamylglutamate,601,Peptide,Gamma-glutamyl Amino Acid,36738,LC/MS Pos Early,331,1775.0,277.103,92865,1116-22-9,C05282,HMDB11737,
sphinganine,2914,Lipid,Sphingolipid Synthesis,17769,LC/MS Pos Late,313,1413.0,302.3054,3126,3102-56-5,C00836,HMDB00269,
steviol,5017,Xenobiotics,Food Component/Plant,54797,LC/MS Neg,100009256,5327.0,317.2122,452967,,C20212,,
3-ketosphinganine,2913,Lipid,Sphingolipid Synthesis,34381,LC/MS Pos Late,100001436,1400.0,300.2897,631,18944-28-0,C02934,HMDB01480,
"5alpha-androstan-3beta,17beta-diol monosulfate (1)",3294,Lipid,Androgenic Steroids,37191,LC/MS Neg,100002023,4635.0,371.1898,,,,,
4-methylguaiacol sulfate,4393,Xenobiotics,Benzoate Metabolism,48418,LC/MS Neg,100006105,2978.0,217.0176,,756760-43-7,,,
oleoylcholine,1884,Lipid,Fatty Acid Metabolism (Acyl Choline),53260,LC/MS Pos Late,100009331,1449.0,368.3523,,,,,
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",2991,Lipid,Hexosylceramides (HCER),57595,LC/MS Pos Late,100015882,3414.0,756.6348,,,,,
N-oleoyl-sphingosine (d18:1/18:1)*,2940,Lipid,Ceramides,19385,LC/MS Pos Late,100000631,2848.0,564.535,5283563,5966-28-9,,HMDB04948,
pregnenetriol sulfate*,3171,Lipid,Pregnenolone Steroids,62922,LC/MS Neg,100021103,4749.0,413.2003,,,,,
"ceramide (d18:1/14:0, d16:1/16:0)*",2961,Lipid,Ceramides,57432,LC/MS Pos Late,100015735,2477.0,510.4881,,,,,
carotene diol (2),4328,Cofactors and Vitamins,Vitamin A Metabolism,57636,LC/MS Pos Late,100015967,1904.0,568.4279,,,,,
protoporphyrin IX,4302,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,39321,LC/MS Pos Late,100000292,1417.0,563.2653,4971,553-12-8;50865-10-5,C02191,HMDB00241,
gamma-glutamylglutamine,602,Peptide,Gamma-glutamyl Amino Acid,2730,LC/MS Pos Early,1140,1430.0,276.119,150914,10148-81-9,C05283,HMDB11738,
trizma acetate,5930,Xenobiotics,Chemical,20710,LC/MS Pos Early,100000856,1884.0,122.0812,6503,6850-28-8,C07182,,
N1-Methyl-2-pyridone-5-carboxamide,4224,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,40469,LC/MS Neg,100001468,1668.0,151.0513,69698,701-44-0,C05842,HMDB04193,
N-oleoyltaurine,2101,Lipid,Endocannabinoid,39732,LC/MS Neg,100003119,5610.0,388.2527,6437033,52514-04-2,,,
acetylagmatine,503,Amino Acid,Polyamine Metabolism,62698,LC/MS Pos Early,100005945,2514.0,173.1397,439661,3031-89-8,C02131,,
3-hydroxyquinine,5316,Xenobiotics,Drug - Antibiotic,43496,LC/MS Pos Early,100002410,3271.0,341.186,441264,78549-61-8,C07344,HMDB01091,
6-oxopiperidine-2-carboxylate,130,Amino Acid,Lysine Metabolism,43231,LC/MS Neg,100004499,965.0,142.05100000000002,3014237,34622-39-4,,HMDB61705,
curcumin,4959,Xenobiotics,Food Component/Plant,37470,LC/MS Pos Late,100001975,1085.0,369.1333,969516,458-37-7,C10443,HMDB02269,
emtricitabine,5369,Xenobiotics,Drug - Antiviral,63285,LC/MS Pos Early,100020917,2084.0,248.05,60877,143491-57-0,D01199,HMDB15017,
arachidonate (20:4n6),1524,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1110,LC/MS Neg,229,5535.0,303.233,444899,506-32-1,C00219,HMDB01043,
"5,6-dihydrouridine",4128,Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119.0,245.0779,94312,1361384,,,
I-urobilinogen,4308,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,32426,LC/MS Neg,100001226,4190.0,591.3188,26818,14684-37-8,C05790,HMDB04157,
4-cholesten-3-one,3130,Lipid,Sterol,38125,LC/MS Pos Late,100002227,2520.0,385.3465,91477,601-57-0,C00599,HMDB00921,
3-hydroxystachydrine*,4926,Xenobiotics,Food Component/Plant,62062,LC/MS Pos Early,100020203,1049.0,160.0968,442640,,,,
2-methoxyhydroquinone sulfate (2),4474,Xenobiotics,Benzoate Metabolism,64050,LC/MS Neg,100021840,1619.0,218.9969,,,,,
glutarylcarnitine (C5-DC),124,Amino Acid,Lysine Metabolism,44664,LC/MS Pos Early,100001593,2393.0,276.1442,71464488,102636-82-8,,HMDB13130,
hydroxymethylpyrimidine,4320,Cofactors and Vitamins,Thiamine Metabolism,57565,LC/MS Pos Early,100003365,2207.0,140.0818,777,73-67-6,C01279,,
urea,453,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1670,LC/MS Pos Early,533,700.0,121.072,1176,57-13-6,C00086,HMDB00294,
N-acetylleucine,312,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1587,LC/MS Neg,1082,2400.0,172.0979,70912,1188-21-2,C02710,HMDB11756,
1-linolenoyl-2-hexadecatrienoyl-galactosylglycerol (18:3/16:3),2890,Lipid,Galactosyl Glycerolipids,54890,LC/MS Pos Late,100009396,1911.0,764.5307,,,,,
8-hydroxyguanine,4102,Nucleotide,"Purine Metabolism, Guanine containing",38672,LC/MS Pos Early,100002744,951.0,168.0516,65154,5614-64-2,C20155,HMDB02032,
5-dodecenoate (12:1n7),1455,Lipid,Medium Chain Fatty Acid,33968,LC/MS Neg,100001232,5224.0,197.1547,5312378,2430-94-6,,HMDB00529,
N-acetylthreonine,18,Amino Acid,"Glycine, Serine and Threonine Metabolism",33939,LC/MS Neg,100001274,821.6,160.0615,152204,17093-74-2,,HMDB62557,
sucralose,4560,Xenobiotics,Food Component/Plant,36649,LC/MS Neg,100001789,3140.0,395.0073,71485,56038-13-2,C12285,HMDB31554,
warfarin,5442,Xenobiotics,Drug - Cardiovascular,43335,LC/MS Neg,100004175,3790.0,307.0976,,5543-57-7,C01541,HMDB01935,
glutamine conjugate of C8H12O2 (2)*,6070,Partially Characterized Molecules,Partially Characterized Molecules,62143,LC/MS Neg,100020258,3239.0,267.135,,,,,
ritalinic acid,5599,Xenobiotics,Drug - Neurological,22196,LC/MS Pos Early,100000579,3207.0,220.1332,86863,19395-41-6,,HMDB42008,
D-urobilin,4309,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,40084,LC/MS Pos Late,100002569,935.0,589.3021,6276321,3947-38-4,C05795,HMDB04161,
linoleate (18:2n6),1518,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1105,LC/MS Neg,180,5535.0,279.233,5280450,60-33-3,C01595,HMDB00673,
catechin,4574,Xenobiotics,Food Component/Plant,17668,LC/MS Pos Early,2068,1780.0,291.0863,9064,18829-70-4;225937-10-0,C06562,HMDB02780,
"androstenediol (3alpha, 17alpha) monosulfate (2)",3277,Lipid,Androgenic Steroids,37207,LC/MS Neg,100002026,4712.0,369.1741,,,,,
glucose,1181,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",48152,LC/MS Polar,572,2342.0,225.0616,5793,50-99-7,C00031,HMDB00122,
indoleacetylglutamine,294,Amino Acid,Tryptophan Metabolism,42087,LC/MS Neg,100001731,2535.0,302.1146,25200879,,,HMDB13240,
pregnanolone/allopregnanolone sulfate,3198,Lipid,Progestin Steroids,48394,LC/MS Neg,100006173,5160.0,397.2054,,,,,
margaroyl ethanolamide*,2124,Lipid,Endocannabinoid,57542,LC/MS Pos Late,100015863,1714.0,314.3054,,,,,
docosapentaenoate (n6 DPA; 22:5n6),1527,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),37478,LC/MS Neg,100001580,5624.5,329.2486,6441454,25182-74-5,C16513,HMDB01976,
tetradecanedioate (C14),1642,Lipid,"Fatty Acid, Dicarboxylate",35669,LC/MS Neg,100001613,3985.0,257.1758,13185,821-38-5,,HMDB00872,
coumaroylquinate (4),4728,Xenobiotics,Food Component/Plant,54929,LC/MS Neg,100010909,1982.0,337.0929,,,,,
gamma-glutamylalanine,599,Peptide,Gamma-glutamyl Amino Acid,37063,LC/MS Pos Early,100001843,1986.0,219.0976,440103,5875-41-2,,HMDB29142,
azelate (C9-DC),1630,Lipid,"Fatty Acid, Dicarboxylate",18362,LC/MS Neg,2029,1276.0,187.0976,2266,123-99-9,C08261,HMDB00784,
aspartate,36,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165.0,134.0448,5960,56-84-8,C00049,HMDB00191,
astaxanthin,4330,Cofactors and Vitamins,Vitamin A Metabolism,38652,LC/MS Pos Late,100002751,1605.0,597.3938,5281224,472-61-7,C08580,HMDB02204,
gamma-glutamylmethionine,609,Peptide,Gamma-glutamyl Amino Acid,44872,LC/MS Pos Early,100001313,2640.0,279.1009,7009567,17663-87-5,,HMDB29155,
3-hydroxyoctanoylglycine,1765,Lipid,Fatty Acid Metabolism (Acyl Glycine),64388,LC/MS Neg,100020633,3471.0,216.1241,,,,,
salicyluric glucuronide*,5210,Xenobiotics,"Drug - Analgesics, Anesthetics",33384,LC/MS Neg,100001332,1463.0,370.07800000000003,121596205,,,,
gulonate*,4254,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,46957,LC/MS Polar,100001586,2750.0,195.051,152304,20246-53-1,C00257,HMDB03290,
glycylvaline,791,Peptide,Dipeptide,18357,LC/MS Pos Early,100000487,2734.0,175.1077,97417,1963-21-9,,HMDB28854,
thiamin (Vitamin B1),4316,Cofactors and Vitamins,Thiamine Metabolism,5341,LC/MS Pos Early,873,3050.0,265.1118,1130,59-43-8,C00378,HMDB00235,
estrone 3-sulfate,3336,Lipid,Estrogenic Steroids,18474,LC/MS Neg,1230,4417.3,349.1115,3001028,438-67-5,C02538,HMDB01425,
5-(2-Hydroxyethyl)-4-methylthiazole,4319,Cofactors and Vitamins,Thiamine Metabolism,27673,LC/MS Pos Early,100000098,2310.0,144.0478,1136,137-00-8,C04294,,
pregnenetriol disulfate*,3172,Lipid,Pregnenolone Steroids,62921,LC/MS Neg,100021104,3504.0,246.0749,,,,,
3-ureidopropionate,4144,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Pos Early,1053,875.0,133.0608,111,462-88-4,C02642,HMDB00026,
gamma-glutamylthreonine,611,Peptide,Gamma-glutamyl Amino Acid,33364,LC/MS Pos Early,100001314,1750.0,249.1081,76078708,5652-48-2,,HMDB29159,
heptenedioate (C7:1-DC)*,1625,Lipid,"Fatty Acid, Dicarboxylate",61866,LC/MS Polar,100019981,2816.0,157.0506,,,,,
neoponcirin,5041,Xenobiotics,Food Component/Plant,47399,LC/MS Neg,100005738,4385.6,593.1876,,603-61-2;14259-47-3,,,
"5alpha-androstan-3alpha,17alpha-diol disulfate",3269,Lipid,Androgenic Steroids,37182,LC/MS Neg,100002007,4547.0,225.0697,,,,,
1-ribosyl-imidazoleacetate*,93,Amino Acid,Histidine Metabolism,61868,LC/MS Pos Early,100001668,2006.0,259.0925,5117448,29605-99-0,C05131,HMDB02331,
glycodeoxycholate,3395,Lipid,Secondary Bile Acid Metabolism,18477,LC/MS Neg,100000436,5281.0,448.3068,3035026,360-65-6,C05464,HMDB00631,
quercitrin,4548,Xenobiotics,Food Component/Plant,21186,LC/MS Neg,100000929,2990.0,447.0933,5280459,522-12-3,C01750,HMDB33751,
deoxycholate,3387,Lipid,Secondary Bile Acid Metabolism,1114,LC/MS Neg,302,5294.0,391.2854,222528,83-44-3,C04483,HMDB00626,
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",3042,Lipid,Sphingomyelins,47153,LC/MS Pos Late,100005986,3200.0,813.6844,	44260126,94359-13-4,,HMDB12107,
1-palmitoyl-sulfoquinovopyranosyl-glycerol (16:0)*,2795,Lipid,Monoacylglycerol,62379,LC/MS Neg,100016115,5543.0,555.2845,,,,,
lactose,1260,Carbohydrate,Disaccharides and Oligosaccharides,567,LC/MS Polar,393,3500.0,387.1144,84571,5965-66-2,C00243,HMDB00186,
glutamyl-meso-diaminopimelate,5141,Xenobiotics,Bacterial/Fungal,53163,LC/MS Pos Early,100008986,2555.0,320.1452,,,,,
1-stearoyl-GPE (18:0),2584,Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626.0,482.3241,9547068,69747-55-3,,HMDB11130,
eicosanoylsphingosine (d20:1)*,3082,Lipid,Sphingosines,57597,LC/MS Pos Late,100015870,1443.0,328.32099999999997,,,,,
